,CountyId,State,County,TotalPop
573,16045,Idaho,Gem County,16850
574,16047,Idaho,Gooding County,15110
575,16049,Idaho,Idaho County,16275
576,16051,Idaho,Jefferson County,27410
577,16053,Idaho,Jerome County,23039
578,16055,Idaho,Kootenai County,150128
579,16057,Idaho,Latah County,38697
580,16059,Idaho,Lemhi County,7755
581,16061,Idaho,Lewis County,3824
582,16063,Idaho,Lincoln County,5296
583,16065,Idaho,Madison County,38241
584,16067,Idaho,Minidoka County,20448
585,16069,Idaho,Nez Perce County,40014
586,16071,Idaho,Oneida County,4284
587,16073,Idaho,Owyhee County,11384
588,16075,Idaho,Payette County,22839
589,16077,Idaho,Power County,7667
590,16079,Idaho,Shoshone County,12490
591,16081,Idaho,Teton County,10776
592,16083,Idaho,Twin Falls County,82248
593,16085,Idaho,Valley County,10104
594,16087,Idaho,Washington County,9996
595,17001,Illinois,Adams County,66787
596,17003,Illinois,Alexander County,6776
597,17005,Illinois,Bond County,17034
598,17007,Illinois,Boone County,53638
599,17009,Illinois,Brown County,6791
600,17011,Illinois,Bureau County,33619
601,17013,Illinois,Calhoun County,4897
602,17015,Illinois,Carroll County,14704
603,17017,Illinois,Cass County,12880
604,17019,Illinois,Champaign County,207946
605,17021,Illinois,Christian County,33562
606,17023,Illinois,Clark County,15924
607,17025,Illinois,Clay County,13393
608,17027,Illinois,Clinton County,37640
609,17029,Illinois,Coles County,52540
610,17031,Illinois,Cook County,5238541
611,17033,Illinois,Crawford County,19214
612,17035,Illinois,Cumberland County,10899
613,17037,Illinois,DeKalb County,104473
614,17039,Illinois,De Witt County,16176
615,17041,Illinois,Douglas County,19830
616,17043,Illinois,DuPage County,931826
617,17045,Illinois,Edgar County,17603
618,17047,Illinois,Edwards County,6570
619,17049,Illinois,Effingham County,34164
620,17051,Illinois,Fayette County,21980
621,17053,Illinois,Ford County,13470
622,17055,Illinois,Franklin County,39302
623,17057,Illinois,Fulton County,35733
624,17059,Illinois,Gallatin County,5226
625,17061,Illinois,Greene County,13311
626,17063,Illinois,Grundy County,50333
627,17065,Illinois,Hamilton County,8259
628,17067,Illinois,Hancock County,18264
629,17069,Illinois,Hardin County,4161
630,17071,Illinois,Henderson County,6927
631,17073,Illinois,Henry County,49649
632,17075,Illinois,Iroquois County,28457
633,17077,Illinois,Jackson County,59115
634,17079,Illinois,Jasper County,9608
635,17081,Illinois,Jefferson County,38358
636,17083,Illinois,Jersey County,22215
637,17085,Illinois,Jo Daviess County,22046
638,17087,Illinois,Johnson County,12899
639,17089,Illinois,Kane County,529402
640,17091,Illinois,Kankakee County,110801
641,17093,Illinois,Kendall County,122933
642,17095,Illinois,Knox County,51374
643,17097,Illinois,Lake County,704476
644,17099,Illinois,LaSalle County,111151
645,17101,Illinois,Lawrence County,16457
646,17103,Illinois,Lee County,34670
647,17105,Illinois,Livingston County,36812
648,17107,Illinois,Logan County,29488
649,17109,Illinois,McDonough County,31597
650,17111,Illinois,McHenry County,308043
651,17113,Illinois,McLean County,173231
652,17115,Illinois,Macon County,107587
653,17117,Illinois,Macoupin County,45960
654,17119,Illinois,Madison County,266153
655,17121,Illinois,Marion County,38305
656,17123,Illinois,Marshall County,11925
657,17125,Illinois,Mason County,13904
658,17127,Illinois,Massac County,14594
659,17129,Illinois,Menard County,12416
660,17131,Illinois,Mercer County,15794
661,17133,Illinois,Monroe County,33739
662,17135,Illinois,Montgomery County,29173
663,17137,Illinois,Morgan County,34442
664,17139,Illinois,Moultrie County,14711
665,17141,Illinois,Ogle County,51619
666,17143,Illinois,Peoria County,186145
667,17145,Illinois,Perry County,21467
668,17147,Illinois,Piatt County,16433
669,17149,Illinois,Pike County,15930
670,17151,Illinois,Pope County,4360
671,17153,Illinois,Pulaski County,5691
672,17155,Illinois,Putnam County,5771
673,17157,Illinois,Randolph County,32829
674,17159,Illinois,Richland County,15953
675,17161,Illinois,Rock Island County,146205
676,17163,Illinois,St. Clair County,264433
677,17165,Illinois,Saline County,24430
678,17167,Illinois,Sangamon County,198134
679,17169,Illinois,Schuyler County,7181
680,17171,Illinois,Scott County,5109
681,17173,Illinois,Shelby County,21906
682,17175,Illinois,Stark County,5551
683,17177,Illinois,Stephenson County,45839
684,17179,Illinois,Tazewell County,134695
685,17181,Illinois,Union County,17267
686,17183,Illinois,Vermilion County,79207
687,17185,Illinois,Wabash County,11568
688,17187,Illinois,Warren County,17429
689,17189,Illinois,Washington County,14260
690,17191,Illinois,Wayne County,16569
691,17193,Illinois,White County,14186
692,17195,Illinois,Whiteside County,56823
693,17197,Illinois,Will County,687727
694,17199,Illinois,Williamson County,67477
695,17201,Illinois,Winnebago County,287512
696,17203,Illinois,Woodford County,38942
697,18001,Indiana,Adams County,35018
698,18003,Indiana,Allen County,367747
699,18005,Indiana,Bartholomew County,81024
700,18007,Indiana,Benton County,8685
701,18009,Indiana,Blackford County,12214
702,18011,Indiana,Boone County,63013
703,18013,Indiana,Brown County,15007
704,18015,Indiana,Carroll County,19994
705,18017,Indiana,Cass County,38248
706,18019,Indiana,Clark County,114893
707,18021,Indiana,Clay County,26375
708,18023,Indiana,Clinton County,32455
709,18025,Indiana,Crawford County,10598
710,18027,Indiana,Daviess County,32777
711,18029,Indiana,Dearborn County,49564
712,18031,Indiana,Decatur County,26480
713,18033,Indiana,DeKalb County,42524
714,18035,Indiana,Delaware County,115938
715,18037,Indiana,Dubois County,42379
716,18039,Indiana,Elkhart County,202924
717,18041,Indiana,Fayette County,23426
718,18043,Indiana,Floyd County,76481
719,18045,Indiana,Fountain County,16620
720,18047,Indiana,Franklin County,22835
721,18049,Indiana,Fulton County,20296
722,18051,Indiana,Gibson County,33596
723,18053,Indiana,Grant County,67615
724,18055,Indiana,Greene County,32431
725,18057,Indiana,Hamilton County,309687
726,18059,Indiana,Hancock County,72776
727,18061,Indiana,Harrison County,39450
728,18063,Indiana,Hendricks County,158170
729,18065,Indiana,Henry County,48649
